transaction_id,amount,transaction_type,account_age_days,transactions_last_24h,device_changed,international,transaction_hour,previous_fraud_count,is_fraud
53,75.42,PAYMENT,1953,2,0,0,6,0,0
54,273.6,PAYMENT,1501,4,0,0,15,0,0
55,416.13,PAYMENT,674,2,0,0,10,1,0
56,376.64,CASH_OUT,2509,4,1,0,2,0,0
57,64.12,TRANSFER,351,2,0,0,23,0,0
58,108.94,PAYMENT,1098,4,0,0,16,0,0
59,206.7,TRANSFER,353,4,0,0,1,0,0
60,393.68,TRANSFER,2489,4,0,0,8,0,0
61,91.91,CASH_OUT,1272,0,1,0,3,0,0
62,123.27,PAYMENT,2697,6,0,0,5,0,0
63,49.09,PAYMENT,2124,3,0,0,0,0,0
64,44.87,PAYMENT,674,1,0,0,8,1,0
65,334.46,PAYMENT,1741,2,0,0,17,0,0
66,576.08,TRANSFER,2710,0,0,0,14,0,0
67,138.1,TRANSFER,870,3,0,0,14,0,0
68,404.86,PAYMENT,332,3,0,0,13,1,0
69,213.07,PAYMENT,1976,3,0,0,7,0,0
70,77.86,PAYMENT,801,1,0,0,12,0,0
71,213.02,DEBIT,1013,4,0,0,19,0,0
72,690.93,PAYMENT,2936,3,0,0,8,0,0
73,143.19,CASH_IN,2654,5,0,0,9,0,0
74,709.56,CASH_OUT,893,1,0,0,9,0,0
75,10.81,PAYMENT,365,1,0,0,19,0,0
76,337.61,DEBIT,1908,4,0,0,13,0,0
77,161.91,CASH_OUT,1882,3,0,0,0,0,0
78,110.06,CASH_OUT,689,3,1,0,14,2,0
79,162.68,TRANSFER,2030,3,1,0,1,2,0
80,20.34,TRANSFER,641,5,0,0,19,0,0
81,119.14,PAYMENT,1172,5,0,0,17,1,0
82,212.11,PAYMENT,933,4,0,0,15,0,0
83,650.6,CASH_IN,2159,4,1,1,5,3,1
84,88.39,CASH_IN,1066,3,1,0,21,0,0
85,66.12,PAYMENT,998,1,0,0,5,0,0
86,89.86,CASH_OUT,1986,4,0,0,19,0,0
87,370.7,CASH_OUT,2555,3,0,0,19,0,0
88,206.18,PAYMENT,2376,1,0,0,16,0,0
89,87.38,TRANSFER,2169,5,0,0,23,0,0
90,247.96,TRANSFER,779,2,0,0,6,2,0
91,163.54,CASH_OUT,2773,5,0,0,15,0,1
92,390.98,CASH_IN,2799,3,0,0,16,1,0
93,73.55,PAYMENT,1329,5,0,1,16,0,0
94,106.95,TRANSFER,333,3,0,0,12,0,0
95,100.27,CASH_OUT,2945,2,0,0,4,0,0
96,34.35,CASH_OUT,2864,1,0,0,23,0,0
97,199.56,PAYMENT,1890,4,0,0,6,1,0
98,192.68,TRANSFER,65,3,0,0,18,0,1
99,149.17,CASH_IN,451,1,0,0,0,0,0
100,117.38,PAYMENT,1555,5,0,0,12,0,0
101,36.04,TRANSFER,2415,4,1,0,17,0,0
102,97.45,CASH_IN,2659,3,0,0,6,2,0
103,105.35,PAYMENT,657,3,0,0,18,0,0
104,66.53,CASH_IN,1463,2,0,0,22,0,0
105,126.31,PAYMENT,492,3,0,0,10,0,1
106,222.31,PAYMENT,110,5,0,0,3,1,1
107,978.66,PAYMENT,1532,1,1,1,13,1,1
108,176.72,PAYMENT,1439,4,0,1,1,0,0
109,192.01,PAYMENT,449,4,0,0,13,0,0
110,137.77,CASH_OUT,2112,2,0,0,19,1,1
111,21.79,PAYMENT,2972,3,1,0,4,1,0
112,144.53,DEBIT,824,3,0,0,4,0,0
113,157.63,TRANSFER,2578,4,0,0,21,0,0
114,1742.79,TRANSFER,1760,1,1,0,14,0,0
115,122.44,TRANSFER,213,1,0,0,6,0,0
116,200.65,CASH_OUT,587,0,0,0,12,0,0
117,143.35,TRANSFER,1201,3,0,0,23,0,0
118,46.12,PAYMENT,2072,1,0,0,6,0,0
119,465.37,CASH_IN,1317,5,0,1,2,1,0
120,314.8,TRANSFER,869,7,0,0,3,0,0
121,327.35,PAYMENT,1912,5,0,0,2,0,0
122,59.78,TRANSFER,311,5,0,1,1,0,0
123,603.53,CASH_OUT,644,2,0,0,23,0,0
124,36.53,PAYMENT,2279,5,0,0,11,0,0
125,266.9,CASH_IN,603,1,0,0,18,0,0
126,1326.71,CASH_OUT,446,2,0,0,15,0,1
127,55.12,CASH_OUT,346,3,1,0,9,0,0
128,84.24,TRANSFER,2993,1,0,1,10,0,1
129,163.96,DEBIT,1121,1,0,0,18,2,0
130,89.7,PAYMENT,1012,3,0,0,11,1,0
131,31.48,TRANSFER,2874,5,0,0,4,0,0
132,158.95,PAYMENT,1533,2,0,0,16,0,0
133,51.3,CASH_OUT,706,5,0,0,12,0,0
134,238.31,PAYMENT,1154,3,0,0,6,0,0
135,59.18,PAYMENT,2320,2,0,0,13,0,0
136,699.2,CASH_IN,1143,3,0,0,2,0,0
137,67.81,TRANSFER,2002,7,0,0,11,0,0
138,107.55,PAYMENT,2978,4,0,0,6,0,0
139,334.79,CASH_OUT,156,5,0,0,1,0,0
140,43.34,CASH_OUT,648,2,0,0,15,0,1
141,186.32,PAYMENT,863,3,0,0,9,1,0
142,548.48,PAYMENT,1452,2,0,0,20,0,0
143,29.74,DEBIT,785,5,0,1,7,1,0
144,178.51,TRANSFER,805,3,0,0,15,0,0
145,192.46,PAYMENT,1666,3,0,1,5,0,0
146,324.35,CASH_IN,2330,3,0,0,18,1,0
147,43.08,TRANSFER,102,1,0,0,5,1,1
148,39.63,PAYMENT,408,4,0,0,10,1,0
149,250.12,PAYMENT,2376,7,0,0,13,0,0
150,199.73,PAYMENT,521,2,0,0,1,0,0
151,190.66,CASH_IN,713,3,0,0,2,1,0
152,209.86,PAYMENT,2005,1,1,0,10,1,1
153,75.19,PAYMENT,333,5,1,0,20,0,0
154,187.21,CASH_IN,1982,3,0,0,0,0,1
155,198.95,PAYMENT,1999,3,0,0,13,2,0
156,72.65,CASH_OUT,1290,5,0,0,17,0,0
157,958.89,PAYMENT,1060,2,0,0,6,1,0
158,238.37,CASH_OUT,1760,3,0,0,8,1,0
159,45.09,PAYMENT,285,2,1,0,11,0,0
160,286.16,PAYMENT,1224,5,1,0,6,2,1
161,56.0,TRANSFER,263,1,0,0,12,0,0
162,326.06,CASH_OUT,2950,4,0,0,20,0,0
163,472.76,CASH_OUT,1748,2,0,0,15,1,1
164,65.32,CASH_OUT,522,1,0,0,18,0,0
165,388.92,TRANSFER,2044,0,0,0,3,0,0
166,224.25,TRANSFER,258,0,0,0,20,0,0
167,337.67,CASH_OUT,374,5,0,0,12,0,0
168,989.1,CASH_OUT,1820,2,0,0,21,0,1
169,116.12,CASH_OUT,2154,7,0,0,12,0,0
170,69.84,TRANSFER,294,1,0,1,4,0,0
171,60.98,PAYMENT,773,1,0,0,22,0,0
172,65.64,PAYMENT,1702,2,0,1,0,0,0
173,137.4,PAYMENT,2322,3,0,0,10,1,0
174,208.75,DEBIT,458,5,0,0,3,0,0
175,195.72,CASH_OUT,2522,0,1,0,10,0,1
176,339.4,TRANSFER,1286,4,0,1,17,0,0
177,150.36,PAYMENT,2940,2,0,0,7,0,0
178,634.94,PAYMENT,483,2,0,0,14,1,0
179,113.9,CASH_IN,378,8,0,0,7,0,0
180,2253.34,CASH_IN,451,0,1,0,14,0,0
181,277.46,PAYMENT,2792,4,0,0,20,0,0
182,62.98,CASH_OUT,2567,0,0,0,13,0,0
183,50.86,TRANSFER,715,5,0,0,7,0,0
184,240.44,PAYMENT,611,3,0,0,7,0,0
185,118.69,CASH_OUT,2692,2,0,0,16,1,1
186,303.08,CASH_OUT,1286,2,1,1,0,0,0
187,238.23,CASH_OUT,192,1,0,0,9,1,1
188,137.99,PAYMENT,2857,0,0,0,18,0,0
189,63.64,PAYMENT,2381,0,0,0,21,0,0
190,32.63,PAYMENT,2396,2,0,0,8,0,0
191,94.96,PAYMENT,2762,1,0,0,11,0,1
192,349.46,TRANSFER,1059,2,0,0,12,1,0
193,183.85,PAYMENT,1354,2,0,0,16,0,0
194,42.7,TRANSFER,1911,1,0,0,6,0,0
195,176.48,PAYMENT,130,5,1,0,3,0,1
196,218.18,CASH_OUT,445,1,0,0,17,1,0
197,61.32,CASH_OUT,993,2,0,0,17,0,0
198,173.08,CASH_OUT,1413,3,0,0,17,0,0
199,157.31,PAYMENT,1184,4,1,1,22,1,1
200,47.32,PAYMENT,2972,2,0,0,19,1,0
201,212.25,PAYMENT,2463,5,0,0,9,0,0
202,260.03,PAYMENT,1073,2,0,0,11,2,0
203,438.36,PAYMENT,1776,3,0,0,2,1,1
204,425.73,PAYMENT,2372,1,0,0,22,2,0
205,37.42,CASH_OUT,425,1,0,0,7,0,0
206,58.1,DEBIT,1498,1,1,0,9,0,0
207,248.4,PAYMENT,2369,2,0,0,21,0,0
208,248.09,CASH_IN,377,2,0,0,6,0,0
209,248.4,PAYMENT,1318,5,0,0,10,0,0
210,6993.47,CASH_OUT,794,4,0,0,16,1,1
211,262.67,CASH_OUT,73,2,0,0,23,0,1
212,462.0,DEBIT,104,5,0,0,5,0,0
213,385.29,PAYMENT,82,3,0,1,9,0,0
214,284.69,PAYMENT,2143,6,1,0,0,1,1
215,108.28,PAYMENT,67,0,0,0,16,1,1
216,317.02,TRANSFER,795,3,0,0,22,0,0
217,68.52,DEBIT,2494,1,0,0,0,0,0
218,117.12,CASH_OUT,740,3,1,0,11,0,0
219,91.34,CASH_OUT,777,3,0,0,8,0,0
220,161.08,TRANSFER,1522,4,0,0,16,1,0
221,1502.16,CASH_IN,1108,2,0,0,11,0,1
222,22.94,TRANSFER,2921,3,1,0,9,0,0
223,294.79,PAYMENT,145,4,0,1,15,1,0
224,29.59,CASH_IN,308,2,0,0,2,0,0
225,92.58,PAYMENT,483,2,0,0,14,0,0
226,440.96,PAYMENT,637,4,0,0,2,0,0
227,158.27,PAYMENT,1102,3,0,0,3,0,0
228,50.51,CASH_OUT,398,3,0,0,18,0,0
229,72.58,CASH_OUT,399,4,1,0,8,0,1
230,292.83,PAYMENT,330,1,0,0,4,0,0
231,71.5,CASH_OUT,746,3,0,0,21,0,0
232,184.28,CASH_OUT,1976,4,0,0,19,0,0
233,155.33,DEBIT,1000,2,0,0,1,0,0
234,77.35,TRANSFER,1405,1,0,0,5,1,0
235,1266.41,CASH_OUT,224,4,0,0,13,0,0
236,279.76,CASH_OUT,1358,3,0,1,21,0,0
237,19.59,PAYMENT,2327,4,0,0,11,0,0
238,178.83,PAYMENT,287,1,1,0,13,0,0
239,76.57,TRANSFER,2009,5,0,0,5,1,0
240,348.08,PAYMENT,1503,3,0,0,4,0,0
241,67.19,PAYMENT,1924,3,0,0,9,1,0
242,132.33,TRANSFER,2136,3,0,0,7,0,0
243,245.92,PAYMENT,1625,3,0,1,7,0,0
244,352.75,PAYMENT,1587,4,0,0,3,0,0
245,44.69,TRANSFER,1910,2,0,0,3,0,0
246,106.22,CASH_OUT,816,2,0,1,16,0,0
247,92.3,CASH_IN,2638,4,0,0,23,0,0
248,77.22,TRANSFER,558,2,0,0,9,0,0
249,867.36,TRANSFER,527,3,0,0,10,0,0
250,222.51,PAYMENT,2716,4,0,0,14,0,0
251,42.06,PAYMENT,2232,3,0,0,15,1,0
252,371.62,PAYMENT,1840,4,0,0,6,0,0
253,1239.12,CASH_OUT,1543,1,0,0,10,0,1
254,416.74,TRANSFER,2875,3,0,0,3,1,1
255,32.48,CASH_OUT,2155,6,0,0,15,0,0
256,91.45,CASH_OUT,349,3,0,0,22,3,0
257,526.85,PAYMENT,2599,2,0,1,0,0,0
258,73.14,TRANSFER,643,2,0,0,7,0,1
259,231.32,TRANSFER,659,2,0,0,2,0,0
260,322.03,TRANSFER,2746,2,0,0,15,0,0
261,58.74,TRANSFER,1475,3,0,0,6,3,0
262,139.84,DEBIT,274,1,0,0,0,0,0
263,5.81,CASH_IN,2668,1,0,0,4,0,0
264,53.28,DEBIT,2749,4,0,0,14,2,0
265,115.29,PAYMENT,899,2,0,0,9,0,0
266,42.62,PAYMENT,1489,4,0,0,7,1,0
267,759.31,PAYMENT,2718,5,0,0,5,0,0
268,35.51,PAYMENT,43,6,0,1,22,1,1
269,95.58,TRANSFER,2976,2,0,0,3,0,1
270,169.14,CASH_OUT,2363,0,0,0,11,0,0
271,627.2,TRANSFER,700,3,0,0,9,0,0
272,35.31,DEBIT,670,3,0,0,13,0,0
273,474.93,DEBIT,715,2,0,0,20,0,0
274,149.94,PAYMENT,961,5,0,0,13,0,0
275,55.62,CASH_IN,1739,3,0,0,16,0,0
276,235.59,TRANSFER,2004,1,1,1,9,0,0
277,181.1,TRANSFER,961,2,1,0,19,0,0
278,81.43,CASH_OUT,1041,1,0,0,8,0,0
279,159.14,PAYMENT,1414,6,1,0,3,1,1
280,100.96,CASH_IN,72,3,0,0,10,0,0
281,166.25,CASH_OUT,940,5,0,0,18,0,0
282,287.76,CASH_IN,1347,5,0,0,1,0,0
283,724.89,DEBIT,1398,6,0,0,19,1,0
284,43.04,TRANSFER,2889,5,0,0,15,1,0
285,1252.67,PAYMENT,1049,1,0,1,21,0,1
286,21.07,PAYMENT,2698,1,0,0,19,0,0
287,127.51,PAYMENT,596,2,0,0,21,1,0
288,267.29,PAYMENT,1495,4,0,0,3,0,0
289,196.56,CASH_IN,136,3,0,0,1,0,1
290,79.62,PAYMENT,1366,5,0,0,4,1,0
291,120.53,DEBIT,1237,2,0,0,9,0,0
292,90.65,CASH_OUT,2713,1,0,0,17,0,0
293,82.32,PAYMENT,2495,4,0,0,0,0,0
294,347.1,TRANSFER,78,0,0,1,11,1,0
295,212.09,TRANSFER,2397,3,0,0,3,1,0
296,74.22,TRANSFER,282,3,1,0,18,0,0
297,364.89,TRANSFER,2554,2,0,1,16,0,1
298,201.8,PAYMENT,2907,4,0,0,19,0,0
299,334.58,CASH_OUT,1430,6,0,0,22,0,0
300,278.56,TRANSFER,2641,2,0,0,15,1,0
301,64.78,CASH_OUT,1598,4,1,0,5,1,0
302,84.76,CASH_IN,1585,2,0,1,6,0,0
303,313.34,PAYMENT,770,5,0,0,12,0,0
304,273.25,PAYMENT,2264,1,0,0,2,1,0
305,145.34,CASH_OUT,729,2,0,0,6,0,0
306,166.89,DEBIT,732,4,1,0,18,0,1
307,532.54,TRANSFER,2189,3,0,0,21,0,0
308,82.14,PAYMENT,1237,0,1,0,21,0,0
309,256.49,PAYMENT,322,3,0,0,2,2,0
310,121.24,PAYMENT,985,2,0,0,12,0,0
311,119.38,PAYMENT,903,4,1,0,14,1,0
312,445.31,TRANSFER,2438,1,0,0,14,0,0
313,338.8,CASH_OUT,531,3,0,0,17,0,0
314,334.79,PAYMENT,1850,4,0,0,20,0,0
315,547.56,PAYMENT,678,1,0,0,17,0,0
316,151.56,PAYMENT,115,1,0,0,11,0,0
317,293.52,CASH_IN,325,6,0,0,19,0,0
318,108.82,TRANSFER,1409,3,0,0,10,0,0
319,205.24,DEBIT,1513,2,0,0,23,0,0
320,130.3,TRANSFER,308,6,0,0,4,0,0
321,163.53,PAYMENT,281,2,1,0,12,2,0
322,269.12,PAYMENT,1061,1,0,1,20,1,0
323,65.48,CASH_OUT,615,1,0,0,8,0,0
324,1202.78,TRANSFER,1373,3,0,0,9,0,1
325,54.27,CASH_OUT,1204,3,0,0,8,0,0
326,44.07,CASH_OUT,634,2,1,0,18,1,1
327,472.53,CASH_OUT,2453,4,0,0,8,1,1
328,327.56,PAYMENT,2685,4,1,0,1,0,0
329,277.03,CASH_IN,2517,2,0,0,12,0,0
330,278.2,TRANSFER,2219,4,0,0,10,0,0
331,146.61,PAYMENT,621,3,0,0,12,0,0
332,60.51,TRANSFER,1805,3,1,0,7,0,0
333,160.1,CASH_OUT,2097,3,0,0,7,3,0
334,75.4,PAYMENT,41,2,0,0,11,0,0
335,393.52,TRANSFER,2022,1,0,0,19,1,0
336,128.12,PAYMENT,2713,0,0,0,14,0,0
337,65.01,PAYMENT,151,4,0,0,12,2,0
338,107.62,PAYMENT,454,4,0,0,11,0,0
339,224.29,PAYMENT,2306,4,0,0,15,1,0
340,84.46,PAYMENT,2674,2,1,0,20,0,0
341,65.22,PAYMENT,907,4,0,0,15,1,0
342,189.37,CASH_IN,815,2,0,0,6,1,0
343,189.61,PAYMENT,2106,4,1,0,17,1,1
344,89.39,TRANSFER,2212,3,1,0,3,0,0
345,92.66,PAYMENT,1605,3,0,0,11,0,0
346,187.18,CASH_OUT,130,3,0,0,15,0,0
347,34.88,PAYMENT,405,3,0,0,1,0,0
348,36.33,PAYMENT,675,2,0,0,4,0,1
349,72.35,PAYMENT,1894,3,0,0,9,0,0
350,119.89,DEBIT,2770,4,0,0,10,0,0
351,202.53,TRANSFER,2277,2,0,0,22,0,0
352,648.95,PAYMENT,750,4,0,0,17,0,0
353,349.9,PAYMENT,1653,3,1,0,14,1,1
354,126.48,PAYMENT,2053,1,0,1,1,0,0
355,145.62,PAYMENT,500,1,0,0,21,0,0
356,54.46,CASH_OUT,1982,5,0,1,20,2,0
357,145.69,TRANSFER,1075,1,0,0,17,0,0
358,111.2,CASH_OUT,2127,3,0,0,5,0,0
359,204.94,PAYMENT,755,3,0,0,15,0,0
360,64.89,TRANSFER,2143,0,0,0,18,0,0
361,249.47,PAYMENT,2044,1,0,0,4,0,0
362,687.28,PAYMENT,2379,2,0,0,12,0,0
363,133.12,CASH_OUT,413,1,0,0,10,0,0
364,221.79,PAYMENT,1804,0,1,1,22,0,0
365,295.94,CASH_OUT,2615,1,0,1,1,0,0
366,99.36,CASH_IN,732,1,0,0,8,0,0
367,185.69,PAYMENT,2126,3,0,0,5,0,0
368,150.29,CASH_IN,348,1,0,0,13,0,0
369,163.64,PAYMENT,50,4,0,1,0,0,1
370,68.51,PAYMENT,2668,6,0,0,3,0,0
371,152.1,CASH_OUT,621,3,0,0,10,0,0
372,244.2,TRANSFER,38,3,0,0,15,0,1
373,633.43,PAYMENT,2226,3,0,0,7,0,0
374,387.33,CASH_OUT,1490,3,0,0,20,3,0
375,1278.17,DEBIT,2576,4,0,1,16,0,0
376,68.9,PAYMENT,1941,5,0,0,8,0,0
377,355.07,CASH_IN,326,6,1,0,6,0,0
378,178.28,TRANSFER,2595,8,0,0,11,1,0
379,1325.84,DEBIT,2846,6,0,0,11,0,0
380,66.14,PAYMENT,2781,3,0,0,9,0,0
381,64.09,CASH_OUT,2978,2,0,0,21,0,0
382,81.5,PAYMENT,1282,4,0,0,1,1,0
383,17.75,CASH_IN,1300,2,0,0,22,1,0
384,87.73,CASH_OUT,311,2,0,0,15,0,0
385,69.47,PAYMENT,2846,3,0,0,11,0,0
386,172.5,PAYMENT,286,2,0,0,22,0,0
387,208.88,CASH_IN,1146,3,0,0,6,0,0
388,968.91,CASH_OUT,2291,6,1,0,5,0,0
389,383.92,PAYMENT,1859,2,1,0,9,1,0
390,83.35,TRANSFER,582,3,0,0,2,0,0
391,60.44,CASH_IN,2210,3,0,1,23,0,0
392,242.72,PAYMENT,2994,1,0,0,15,0,0
393,39.64,PAYMENT,1550,1,0,0,2,0,0
394,926.54,DEBIT,2163,4,0,0,11,0,0
395,482.72,PAYMENT,2979,1,1,0,2,0,1
396,92.84,PAYMENT,2954,3,0,0,11,1,0
397,26.76,PAYMENT,2837,3,0,0,20,1,0
398,574.71,CASH_IN,2949,4,1,0,22,0,0
399,132.35,PAYMENT,1600,3,0,0,6,0,0
400,511.74,CASH_OUT,2326,2,0,0,1,0,1
401,30.13,CASH_IN,1896,2,0,0,4,0,0
402,81.5,PAYMENT,1690,6,0,0,14,0,0
403,149.19,CASH_IN,2641,4,0,0,0,0,0
404,155.55,TRANSFER,2366,2,0,0,8,0,0
405,94.63,CASH_OUT,2486,5,0,1,22,0,0
406,276.68,PAYMENT,2810,1,0,0,23,1,0
407,51.03,CASH_OUT,338,3,1,1,12,2,1
408,128.72,PAYMENT,90,1,0,0,19,0,0
409,167.38,PAYMENT,2858,3,0,0,8,0,0
410,248.25,DEBIT,2604,2,0,0,6,1,0
411,302.36,PAYMENT,2277,6,0,0,13,0,0
412,48.2,CASH_IN,2892,2,0,0,4,0,0
413,32.0,PAYMENT,1128,1,1,0,18,0,1
414,532.55,PAYMENT,2013,2,0,0,23,0,1
415,206.92,CASH_IN,2833,2,0,1,22,1,0
416,70.21,PAYMENT,1324,5,0,0,7,0,0
417,700.05,CASH_IN,1074,1,0,0,21,0,0
418,166.61,TRANSFER,227,2,0,0,12,0,0
419,482.65,PAYMENT,1206,2,0,0,16,1,0
420,158.78,CASH_OUT,2121,4,0,0,14,1,0
421,1165.32,PAYMENT,2718,3,0,0,2,0,0
422,858.63,PAYMENT,2631,4,0,0,23,0,0
423,115.7,CASH_OUT,2063,1,0,0,15,1,0
424,392.12,PAYMENT,1598,3,0,0,9,0,0
425,282.98,PAYMENT,900,2,0,0,7,0,0
426,583.26,CASH_IN,539,3,1,0,18,1,0
427,56.55,CASH_IN,2493,2,0,0,22,0,0
428,294.73,TRANSFER,2486,1,0,0,1,0,0
429,427.7,TRANSFER,325,6,0,0,9,1,0
430,25.57,CASH_OUT,1918,3,0,0,4,0,0
431,45.46,TRANSFER,2704,2,0,1,23,1,1
432,19.31,TRANSFER,2280,3,1,0,15,0,1
433,113.36,DEBIT,605,5,1,0,10,1,0
434,304.16,PAYMENT,944,5,0,0,8,0,0
435,666.71,TRANSFER,1014,4,0,0,17,0,0
436,159.83,CASH_IN,825,1,1,0,12,0,0
437,756.43,CASH_OUT,2023,3,0,0,5,0,0
438,37.33,CASH_IN,1788,0,1,1,2,0,1
439,27.02,PAYMENT,877,5,0,1,4,0,1
440,140.39,PAYMENT,1421,1,0,0,22,1,0
441,217.91,CASH_IN,1651,4,0,0,5,0,0
442,143.64,PAYMENT,2816,2,0,0,20,0,0
443,18.78,CASH_OUT,391,2,0,0,4,0,1
444,135.76,PAYMENT,505,3,0,0,7,1,0
445,40.27,CASH_OUT,333,4,0,0,19,1,0
446,289.94,TRANSFER,2262,4,1,0,8,0,0
447,214.13,PAYMENT,2342,3,0,1,4,0,1
448,57.98,TRANSFER,1467,3,0,0,21,1,0
449,88.78,CASH_OUT,431,5,0,1,11,1,1
450,51.46,PAYMENT,2250,4,0,0,1,0,0
451,139.4,CASH_OUT,1781,7,0,0,2,0,0
452,385.73,TRANSFER,907,4,0,0,18,0,0
453,55.38,PAYMENT,1643,6,0,0,17,0,0
454,245.68,CASH_OUT,1375,8,0,0,4,0,0
455,87.33,PAYMENT,936,3,1,0,17,0,0
456,67.16,PAYMENT,375,3,1,0,2,0,0
457,133.35,TRANSFER,1125,3,0,1,4,0,0
458,52.71,CASH_OUT,1836,6,0,0,22,2,0
459,85.32,DEBIT,1930,2,0,1,7,1,0
460,44.8,PAYMENT,2885,3,0,0,2,1,0
461,1058.62,PAYMENT,1706,2,0,0,21,0,0
462,153.74,PAYMENT,237,4,0,0,18,0,0
463,73.72,CASH_OUT,1395,3,0,0,10,0,0
464,183.82,TRANSFER,1086,1,0,1,16,0,0
465,132.64,CASH_OUT,1435,2,1,0,10,1,0
466,118.99,PAYMENT,1439,2,0,0,19,1,1
467,274.28,CASH_IN,1018,5,0,0,22,0,0
468,316.56,TRANSFER,2955,3,1,0,19,0,0
469,87.31,DEBIT,191,5,0,0,20,0,0
470,83.44,PAYMENT,2093,1,0,1,11,1,1
471,112.72,TRANSFER,2820,1,0,0,18,1,0
472,14.85,CASH_OUT,275,2,0,0,18,0,0
473,32.62,CASH_OUT,1099,2,0,1,6,0,0
474,582.24,PAYMENT,2632,2,0,0,21,0,0
475,768.91,DEBIT,1101,4,0,0,0,1,0
476,115.7,PAYMENT,1757,4,0,0,11,0,0
477,264.16,PAYMENT,2791,2,1,0,20,0,0
478,202.6,TRANSFER,1507,1,0,0,5,1,0
479,3225.62,TRANSFER,2219,3,0,0,12,0,0
480,454.67,CASH_OUT,2527,3,0,0,1,0,0
481,130.59,PAYMENT,1242,0,0,0,9,0,0
482,57.08,TRANSFER,1784,3,1,0,4,0,0
483,29.77,TRANSFER,1510,3,0,1,6,1,1
484,181.9,PAYMENT,1817,5,0,0,0,0,1
485,69.66,DEBIT,1002,2,0,0,4,0,0
486,35.79,CASH_IN,1842,1,0,0,22,0,0
487,77.74,TRANSFER,2900,2,1,0,7,1,0
488,50.32,PAYMENT,145,1,0,0,7,0,0
489,802.03,DEBIT,2953,2,1,0,11,2,1
490,358.4,PAYMENT,2591,2,0,0,2,0,0
491,147.23,PAYMENT,2976,4,0,0,3,0,0
492,651.93,PAYMENT,42,3,0,0,21,1,0
493,160.35,PAYMENT,2354,4,1,0,20,0,0
494,62.72,CASH_IN,1305,6,0,0,7,1,0
495,680.7,TRANSFER,945,1,0,0,1,0,0
496,254.4,DEBIT,922,3,0,0,8,1,0
497,52.6,PAYMENT,2305,2,0,0,1,1,0
498,122.69,TRANSFER,246,3,0,0,8,1,0
499,61.83,DEBIT,2826,4,0,1,8,1,0
